"Timestamp";"Vetronaviglio.5001118029#Energia attiva nel carico#kWh";"Vetronaviglio.5001118029#Potenza attiva#kW"
2026-08-01 19:55:00;725383,83;5,8138
2026-08-01 20:00:00;725384,31;5,73397
2026-08-01 20:05:00;725384,76;5,36673
2026-08-01 20:10:00;725385,21;5,59053
2026-08-01 20:15:00;725385,68;5,49917
2026-08-01 20:20:00;725386,12;5,26029
2026-08-01 20:25:00;725386,55;5,16993
2026-08-01 20:30:00;725387;5,45554
2026-08-01 20:35:00;725387,46;5,59375
2026-08-01 20:40:00;725387,9;5,15161
2026-08-01 20:45:00;725388,35;5,49441
2026-08-01 20:50:00;725388,94;7,04171
2026-08-01 20:55:00;725389,5;6,46039
2026-08-01 21:00:00;725390,05;6,58281
2026-08-01 21:05:00;725390,6;6,64973
2026-08-01 21:10:00;725391,14;6,53972
2026-08-01 21:15:00;725391,69;6,57102
2026-08-01 21:20:00;725392,28;6,97588
2026-08-01 21:25:00;725392,86;7,02209
2026-08-01 21:30:00;725393,44;6,97873
2026-08-01 21:35:00;725393,99;6,52461
2026-08-01 21:40:00;725394,55;6,81423
2026-08-01 21:45:00;725395,14;6,98683
2026-08-01 21:50:00;725395,59;4,88906
2026-08-01 21:55:00;725396;4,82185
2026-08-01 22:00:00;725396,41;5,05497
2026-08-01 22:05:00;725396,83;5,0588
2026-08-01 22:10:00;725397,22;4,61229
2026-08-01 22:15:00;725397,61;4,65464
2026-08-01 22:20:00;725398,02;4,99184
2026-08-01 22:25:00;725398,43;4,98897
2026-08-01 22:30:00;725398,82;4,63188
2026-08-01 22:35:00;725399,22;4,86085
2026-08-01 22:40:00;725399,65;5,19204
2026-08-01 22:45:00;725400,06;4,70595
2026-08-01 22:50:00;725400,44;4,6065
2026-08-01 22:55:00;725400,86;5,13234
2026-08-01 23:00:00;725401,28;4,98416
2026-08-01 23:05:00;725401,68;4,79819
2026-08-01 23:10:00;725402,08;4,76203
2026-08-01 23:15:00;725402,49;5,03815
2026-08-01 23:20:00;725402,92;5,06005
2026-08-01 23:25:00;725403,3;4,58186
2026-08-01 23:30:00;725403,7;4,92408
2026-08-01 23:35:00;725404,13;5,12522
2026-08-01 23:40:00;725404,54;4,87675
2026-08-01 23:45:00;725404,94;4,74133
2026-08-01 23:50:00;725405,36;5,19591
2026-08-01 23:55:00;725405,79;5,0684
2026-08-02 00:05:00;725406,57;4,69637
2026-08-02 00:10:00;725406,98;4,99597
2026-08-02 00:15:00;725407,39;4,82448
2026-08-02 00:20:00;725407,78;4,62647
2026-08-02 00:25:00;725408,19;5,0784
2026-08-02 00:30:00;725408,61;5,10532
2026-08-02 00:35:00;725409,02;4,77291
2026-08-02 00:40:00;725409,4;4,65049
2026-08-02 00:45:00;725409,82;5,10532
2026-08-02 00:50:00;725410,24;4,98289
2026-08-02 00:55:00;725410,63;4,7426
2026-08-02 01:00:00;725411,02;4,64485
2026-08-02 01:05:00;725411,45;5,17925
2026-08-02 01:10:00;725411,87;4,68236
2026-08-02 01:15:00;725412,26;4,65168
2026-08-02 01:20:00;725412,66;5,20783
2026-08-02 01:25:00;725413,09;5,16075
2026-08-02 01:30:00;725413,5;4,76674
2026-08-02 01:35:00;725413,89;4,78538
2026-08-02 01:40:00;725414,32;5,10831
2026-08-02 01:45:00;725414,73;4,96668
2026-08-02 01:50:00;725415,12;4,59514
2026-08-02 01:55:00;725415,51;4,64979
2026-08-02 02:00:00;725415,92;4,97094
